age,1971,1976,1981,1986,1991,1996,2001,2006,2011,2013
15-19,64.9,64.6,58.1,62.1,46.1,33.6,26.5,25.7,16.5,16.5
20-24,213.9,213.7,195,217.8,200.7,183,161.3,159.7,143.8,142.2
25-29,227.9,197.5,187,179,158.7,149.4,151.2,138.2,129.6,125.6
30-34,158,133.9,117.8,94.5,81.6,75.1,69.3,58.2,58.8,57.1
35-39,96.5,73.6,60.1,45,37.4,28,30,20.3,16.8,15.8
40-44,34.9,28.9,24.5,17.6,14.9,11.2,9,5.9,3.6,3.2
45-49,15.4,8.3,9.1,4.7,5.3,3.6,3.3,1.7,1,1.1
