census_year,persons,males,females
1901,238396327,120791301,117358672
1911,252093390,128385368,123708022
1921,251321213,128546225,122774988
1931,278977238,142929689,135788921
1941,318660580,163685302,154690267
1951,361088090,185528462,175559628
1961,439234771,226293201,212941570
1971,548159652,284049276,264110376
1981,683329097,353374460,329954637
1991,846421039,439358440,407062599
2001,1028737436,532223090,496514346
2011,1210854977,623270258,587584719
